Timestamp,SF_Level,Game_No,Color,Result,Win,Draw,Loss
2025-12-10 19:59:28,1,1,White,-1,0,0,1
2025-12-10 20:01:14,1,2,Black,1,1,0,0
2025-12-10 20:03:16,1,3,White,1,1,0,0
2025-12-10 20:06:15,1,4,Black,1,1,0,0
2025-12-10 20:09:30,1,5,White,1,1,0,0
2025-12-10 20:11:23,1,6,Black,1,1,0,0
2025-12-10 20:12:40,1,7,White,1,1,0,0
2025-12-10 20:14:28,1,8,Black,1,1,0,0
2025-12-10 20:15:48,1,9,White,0,0,1,0
2025-12-10 20:17:03,1,10,Black,1,1,0,0
2025-12-10 20:18:57,1,11,White,1,1,0,0
2025-12-10 20:20:05,1,12,Black,1,1,0,0
2025-12-10 20:22:29,1,13,White,1,1,0,0
2025-12-10 20:24:23,1,14,Black,1,1,0,0
2025-12-10 20:26:08,1,15,White,1,1,0,0
2025-12-10 20:28:03,1,16,Black,-1,0,0,1
2025-12-10 20:30:03,1,17,White,1,1,0,0
2025-12-10 20:31:40,1,18,Black,1,1,0,0
2025-12-10 20:33:22,1,19,White,1,1,0,0
2025-12-10 20:35:31,1,20,Black,1,1,0,0
2025-12-10 20:37:42,1,21,White,1,1,0,0
2025-12-10 20:40:09,1,22,Black,1,1,0,0
2025-12-10 20:41:37,1,23,White,1,1,0,0
2025-12-10 20:43:25,1,24,Black,1,1,0,0
2025-12-10 20:45:34,1,25,White,1,1,0,0
2025-12-10 20:47:32,1,26,Black,1,1,0,0
2025-12-10 20:49:15,1,27,White,1,1,0,0
2025-12-10 20:52:02,1,28,Black,0,0,1,0
2025-12-10 20:53:21,1,29,White,1,1,0,0
2025-12-10 20:55:19,1,30,Black,1,1,0,0
2025-12-10 20:56:41,1,31,White,1,1,0,0
2025-12-10 20:58:40,1,32,Black,1,1,0,0
2025-12-10 21:00:52,1,33,White,1,1,0,0
2025-12-10 21:03:24,1,34,Black,1,1,0,0
2025-12-10 21:06:21,1,35,White,0,0,1,0
2025-12-10 21:07:51,1,36,Black,1,1,0,0
2025-12-10 21:10:35,1,37,White,0,0,1,0
2025-12-10 21:12:18,1,38,Black,1,1,0,0
2025-12-10 21:13:52,1,39,White,1,1,0,0
2025-12-10 21:15:13,1,40,Black,1,1,0,0
2025-12-10 21:17:17,1,41,White,1,1,0,0
2025-12-10 21:19:17,1,42,Black,1,1,0,0
2025-12-10 21:21:13,1,43,White,1,1,0,0
2025-12-10 21:23:22,1,44,Black,1,1,0,0
2025-12-10 21:27:49,1,45,White,1,1,0,0
2025-12-10 21:29:03,1,46,Black,1,1,0,0
2025-12-10 21:30:27,1,47,White,1,1,0,0
2025-12-10 21:32:43,1,48,Black,1,1,0,0
2025-12-10 21:35:44,1,49,White,1,1,0,0
2025-12-10 21:37:38,1,50,Black,1,1,0,0
2025-12-10 21:38:43,2,1,White,1,1,0,0
2025-12-10 21:40:20,2,2,Black,1,1,0,0
2025-12-10 21:41:58,2,3,White,1,1,0,0
2025-12-10 21:44:23,2,4,Black,1,1,0,0
2025-12-10 21:46:18,2,5,White,1,1,0,0
2025-12-10 21:48:06,2,6,Black,1,1,0,0
2025-12-10 21:49:53,2,7,White,1,1,0,0
2025-12-10 21:51:20,2,8,Black,1,1,0,0
2025-12-10 21:52:53,2,9,White,1,1,0,0
2025-12-10 21:54:57,2,10,Black,1,1,0,0
2025-12-10 21:57:00,2,11,White,1,1,0,0
2025-12-10 21:59:22,2,12,Black,1,1,0,0
2025-12-10 22:01:24,2,13,White,1,1,0,0
2025-12-10 22:03:28,2,14,Black,1,1,0,0
2025-12-10 22:05:19,2,15,White,1,1,0,0
2025-12-10 22:07:10,2,16,Black,1,1,0,0
2025-12-10 22:09:29,2,17,White,1,1,0,0
2025-12-10 22:12:30,2,18,Black,1,1,0,0
2025-12-10 22:14:54,2,19,White,1,1,0,0
2025-12-10 22:16:47,2,20,Black,1,1,0,0
2025-12-10 22:18:47,2,21,White,1,1,0,0
2025-12-10 22:20:44,2,22,Black,0,0,1,0
2025-12-10 22:22:23,2,23,White,1,1,0,0
2025-12-10 22:24:46,2,24,Black,1,1,0,0
2025-12-10 22:29:14,2,25,White,1,1,0,0
2025-12-10 22:32:05,2,26,Black,1,1,0,0
2025-12-10 22:33:34,2,27,White,1,1,0,0
2025-12-10 22:34:48,2,28,Black,1,1,0,0
2025-12-10 22:36:15,2,29,White,1,1,0,0
2025-12-10 22:38:51,2,30,Black,1,1,0,0
2025-12-10 22:41:03,2,31,White,1,1,0,0
2025-12-10 22:42:04,2,32,Black,1,1,0,0
2025-12-10 22:46:28,2,33,White,1,1,0,0
2025-12-10 22:48:54,2,34,Black,1,1,0,0
2025-12-10 22:51:07,2,35,White,1,1,0,0
2025-12-10 22:53:40,2,36,Black,1,1,0,0
2025-12-10 22:55:04,2,37,White,1,1,0,0
2025-12-10 22:57:37,2,38,Black,1,1,0,0
2025-12-10 23:00:23,2,39,White,1,1,0,0
2025-12-10 23:04:34,2,40,Black,-1,0,0,1
2025-12-10 23:08:03,2,41,White,0,0,1,0
2025-12-10 23:09:35,2,42,Black,1,1,0,0
2025-12-10 23:11:34,2,43,White,1,1,0,0
2025-12-10 23:13:47,2,44,Black,1,1,0,0
2025-12-10 23:15:47,2,45,White,1,1,0,0
2025-12-10 23:17:47,2,46,Black,1,1,0,0
2025-12-10 23:21:32,2,47,White,1,1,0,0
2025-12-10 23:24:15,2,48,Black,1,1,0,0
2025-12-10 23:27:18,2,49,White,1,1,0,0
2025-12-10 23:31:50,2,50,Black,0,0,1,0
2025-12-10 23:36:05,3,1,White,1,1,0,0
2025-12-10 23:38:11,3,2,Black,1,1,0,0
2025-12-10 23:40:35,3,3,White,1,1,0,0
2025-12-10 23:42:39,3,4,Black,1,1,0,0
2025-12-10 23:43:39,3,5,White,1,1,0,0
2025-12-10 23:46:28,3,6,Black,1,1,0,0
2025-12-10 23:50:11,3,7,White,1,1,0,0
2025-12-10 23:54:44,3,8,Black,-1,0,0,1
2025-12-10 23:58:02,3,9,White,1,1,0,0
2025-12-11 00:00:41,3,10,Black,1,1,0,0
2025-12-11 00:02:26,3,11,White,1,1,0,0
2025-12-11 00:04:35,3,12,Black,1,1,0,0
2025-12-11 00:06:22,3,13,White,1,1,0,0
2025-12-11 00:08:21,3,14,Black,1,1,0,0
2025-12-11 00:12:10,3,15,White,1,1,0,0
2025-12-11 00:14:10,3,16,Black,1,1,0,0
2025-12-11 00:17:16,3,17,White,0,0,1,0
2025-12-11 00:19:39,3,18,Black,1,1,0,0
2025-12-11 00:21:56,3,19,White,1,1,0,0
2025-12-11 00:26:22,3,20,Black,1,1,0,0
2025-12-11 00:29:03,3,21,White,0,0,1,0
2025-12-11 00:31:21,3,22,Black,0,0,1,0
2025-12-11 00:33:04,3,23,White,1,1,0,0
2025-12-11 00:35:24,3,24,Black,1,1,0,0
2025-12-11 00:39:58,3,25,White,1,1,0,0
2025-12-11 00:41:36,3,26,Black,1,1,0,0
2025-12-11 00:43:46,3,27,White,1,1,0,0
2025-12-11 00:46:27,3,28,Black,1,1,0,0
2025-12-11 00:49:03,3,29,White,1,1,0,0
2025-12-11 00:50:42,3,30,Black,1,1,0,0
2025-12-11 00:54:05,3,31,White,1,1,0,0
2025-12-11 00:57:17,3,32,Black,1,1,0,0
2025-12-11 01:00:30,3,33,White,1,1,0,0
2025-12-11 01:03:29,3,34,Black,1,1,0,0
2025-12-11 01:05:49,3,35,White,1,1,0,0
2025-12-11 01:08:22,3,36,Black,1,1,0,0
2025-12-11 01:11:25,3,37,White,1,1,0,0
2025-12-11 01:13:22,3,38,Black,1,1,0,0
2025-12-11 01:15:28,3,39,White,0,0,1,0
2025-12-11 01:18:21,3,40,Black,1,1,0,0
2025-12-11 01:20:24,3,41,White,1,1,0,0
2025-12-11 01:23:13,3,42,Black,1,1,0,0
2025-12-11 01:24:49,3,43,White,1,1,0,0
2025-12-11 01:26:53,3,44,Black,0,0,1,0
2025-12-11 01:29:22,3,45,White,1,1,0,0
2025-12-11 01:31:35,3,46,Black,1,1,0,0
2025-12-11 01:33:15,3,47,White,1,1,0,0
2025-12-11 01:36:04,3,48,Black,0,0,1,0
2025-12-11 01:40:24,3,49,White,0,0,1,0
2025-12-11 01:42:12,3,50,Black,1,1,0,0
2025-12-11 01:43:55,4,1,White,1,1,0,0
2025-12-11 01:50:24,4,2,Black,-1,0,0,1
2025-12-11 01:53:28,4,3,White,0,0,1,0
2025-12-11 01:56:28,4,4,Black,0,0,1,0
2025-12-11 01:59:17,4,5,White,1,1,0,0
2025-12-11 02:02:45,4,6,Black,-1,0,0,1
2025-12-11 02:04:49,4,7,White,1,1,0,0
2025-12-11 02:07:33,4,8,Black,1,1,0,0
2025-12-11 02:09:30,4,9,White,1,1,0,0
2025-12-11 02:14:47,4,10,Black,1,1,0,0
2025-12-11 02:16:49,4,11,White,1,1,0,0
2025-12-11 02:19:21,4,12,Black,1,1,0,0
2025-12-11 02:21:23,4,13,White,1,1,0,0
2025-12-11 02:24:16,4,14,Black,1,1,0,0
2025-12-11 02:30:04,4,15,White,1,1,0,0
2025-12-11 02:33:59,4,16,Black,1,1,0,0
2025-12-11 02:36:30,4,17,White,0,0,1,0
2025-12-11 02:39:33,4,18,Black,0,0,1,0
2025-12-11 02:41:52,4,19,White,1,1,0,0
