epoch,train_loss,train_value_loss,train_policy_loss,val_loss,val_value_loss,val_policy_loss
1,5.630870165143694,0.5828760044915335,5.047994166977552,3.6029248852883615,0.6456408241102772,2.9572840544485275
2,3.6047707382513554,0.5172382327975059,3.087532508616545,3.153984462061236,0.5210099705765324,2.6329745015790387
3,3.23303894023506,0.4998935732306266,2.7331453712619083,3.0168232917785645,0.5150885514674648,2.501734745117926
4,3.0567239060693856,0.4912035550389971,2.565520346894556,3.0430987496529855,0.5995414535845479,2.4435572970298027
5,2.940556132063574,0.4844477541592656,2.456108384229699,2.8706329099593626,0.5296128795992944,2.341020041896451
6,2.854890037069515,0.47941281929308055,2.3754772147353815,2.8219762040722753,0.5449581814389075,2.2770180279208767
7,2.7940168254229487,0.47478674054145814,2.319230083543427,2.714681617675289,0.48601950464710114,2.228662110144092
8,2.747448898821461,0.4721862052168165,2.275262706133784,2.7125277480771466,0.49168642970823473,2.220841315484816
9,2.7110296911122846,0.4696247524144698,2.2414049391843833,2.7350150654392857,0.5261251642819373,2.2088898997153006
10,2.681523947813073,0.4665549176079886,2.21496903166479,2.679397436880296,0.507380798459053,2.1720166321723693
11,2.547076642756559,0.45161488080511286,2.0954617636544364,2.461354882486405,0.45126697228800866,2.010087916927953
12,2.507169274894559,0.44845829837176265,2.058710983821324,2.4445881112929313,0.4502628642705179,1.994325251348557
13,2.487520437824483,0.44667572537247013,2.0408447080728958,2.433376239192101,0.44822352836208956,1.9851527194822989
14,2.473209679856592,0.4455848665869966,2.027624813391238,2.423385573971656,0.4526327800366186,1.9707527814372894
15,2.461488216750476,0.44468361467731243,2.016804593436572,2.4255672693252563,0.45610468089580536,1.9694625792964813
16,2.4542784739513785,0.44420207361785735,2.0100764079969755,2.405563577528923,0.4498006595719245,1.9557629362229378
17,2.444129141009584,0.44376683612259066,2.0003623008728026,2.3978493213653564,0.446496237189539,1.9513530904246914
18,2.43330720395458,0.4421630230485177,1.9911441841903998,2.386370070518986,0.44485198634286083,1.9415180913863643
19,2.426585798847432,0.44186441484762695,1.9847213808371096,2.385902281730406,0.44410603998168824,1.941796241268035
20,2.421197997307291,0.4416505092260789,1.9795474860132958,2.382838080006261,0.44314715554637296,1.93969093215081
21,2.399743624122775,0.4386417409595178,1.9611018832848996,2.3557230387964556,0.44011597671816427,1.9156070755374046
22,2.395170169947099,0.4382090146444282,1.9569611578571553,2.353320533229459,0.4394457811309445,1.9138747530598794
23,2.3904258445817597,0.43759302849672277,1.9528328136521942,2.3503676729817546,0.43979542870675364,1.9105722538886531
24,2.3884524277278354,0.4371604604380471,1.9512919674114304,2.3539217787404216,0.44035154004250804,1.9135702348524524
25,2.387460519829575,0.4372931244421978,1.9501673907649761,2.3465246769689743,0.4389576397595867,1.9075670511491838
26,2.384366676758747,0.43716516154153007,1.9472015113246683,2.346334430479234,0.4384864847506246,1.9078479524581664
27,2.383292533913437,0.43708801050575413,1.946204519758419,2.3457327658130276,0.4395220664239699,1.9062107032345188
28,2.3818749846244347,0.43699998794769757,1.9448749999610746,2.347238036894029,0.4395998057819182,1.9076382248632369
29,2.3793363104061203,0.43639653908963105,1.9429397811695022,2.344971018452798,0.43826867399677155,1.9067023396492004
30,2.3807138647351946,0.43667148108385045,1.9440423858409026,2.3420966825177594,0.4387554420578864,1.9033412337303162
31,2.376067253034942,0.43615763394200074,1.9399096167817407,2.3363211116483136,0.43753707553109816,1.898784012563767
32,2.376652649470738,0.4368160846282025,1.9398365745739061,2.3405953684160785,0.4371439040668549,1.903451471559463
33,2.377548918432119,0.43647701363174285,1.9410718971369219,2.339039183432056,0.4390313509971865,1.9000078151302953
34,2.3768914076746728,0.43623127937316897,1.940660133167189,2.340059837987346,0.43689812815958456,1.9031617045402527
35,2.376408243179321,0.4363312654349269,1.940076984677996,2.3364076460561445,0.4390746287761196,1.8973330105504682
